Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-3493.862	883.2971	-2072.6404	-4732.9087	422.44446	0.026717665	0.1660115	0.41240808	-0.36492977	4000	5.787611e-08	621465.94	-0.016117763	-6748.5625	0.9189385	0.015056221	0.12525	21.0	46.104387283325195
1	-4968.085	2821.2705	-2016.41	-10742.33	546.0	-4.330422	1.0410476	-0.051514193	-5.357359	8000	1.2990833e-07	805293.44	-0.018230839	-6457.625	0.91539174	0.0150083555	0.111	26.0	92.48013472557068
2	-4451.872	2609.7847	-1960.0496	-10971.231	488.625	-8.225105	0.7232177	-4.5598865	-8.632431	12000	-3.2544136e-08	801117.75	-0.021901868	-4569.5	0.91391516	0.015071438	0.1385	40.0	138.72876572608948
3	-4948.316	1945.0492	-3252.0664	-9138.157	551.4286	-11.104515	0.28300482	-8.552323	-11.248892	16000	1.847744e-08	797649.1	-0.017395591	-3939.75	0.90770495	0.015317509	0.11375	27.0	185.26390743255615
4	-2895.2625	790.8281	-1789.6189	-3924.352	380.8	-13.560359	0.28742328	-10.865474	-13.647896	20000	1.15633014e-07	514832.8	-0.018107945	-2563.0	0.9023642	0.01519316	0.1085	30.0	231.2847728729248
5	-6319.2344	2699.6099	-2409.8567	-10448.153	635.6667	-15.420334	0.5798101	-10.291324	-15.601849	24000	2.2268296e-07	906663.3	-0.01772611	-4486.375	0.89712256	0.015880227	0.11725	20.0	277.5697696208954
6	-5165.659	2143.5278	-2330.7317	-8503.451	562.3333	-18.005323	0.074374884	-17.134413	-18.037477	28000	1.7803907e-07	831350.5	-0.007145192	-3909.4375	0.8928842	0.015333447	0.14475	5.0	323.5714817047119
7	-6847.793	2550.9712	-3308.538	-9352.7	702.6	-20.352608	0.08054305	-19.56503	-20.375792	32000	6.9975854e-08	984122.0	-0.029073669	-4370.5	0.89229673	0.015134659	0.1675	57.0	370.1360960006714
8	-6718.22	2706.0317	-2929.4878	-10476.852	653.8333	-22.780523	0.058721267	-22.158329	-22.798693	36000	-4.276633e-08	1014031.7	-0.02021468	-4453.625	0.89153004	0.015281785	0.1085	29.0	416.41089272499084
9	-7089.072	1745.5886	-4246.3916	-9036.058	733.6	-25.088156	0.6581192	-17.857592	-25.214499	40000	5.3405763e-08	853550.44	-0.019807594	-3883.5625	0.8903273	0.01546101	0.12775	26.0	462.4335422515869
