Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1583.53	609.7975	-687.7148	-2846.628	237.0625	0.011359499	0.155583	0.39001772	-0.41454932	4000	3.027916e-08	376847.97	-0.02099401	-4859.3438	0.9189385	0.015207309	0.11875	33.0	49.13822937011719
1	-1725.9003	523.11273	-725.696	-2700.6997	234.64706	-3.9810145	1.3160733	1.6427512	-5.1414223	8000	-2.026558e-09	421025.6	-0.016201427	-4608.2812	0.91852844	0.015379824	0.10475	21.0	98.13208627700806
2	-1555.0017	825.75665	-597.9791	-3483.1091	241.8125	-7.762245	1.0935323	0.56464624	-8.334269	12000	2.7060509e-08	376172.72	-0.012670129	-3075.4375	0.9162195	0.015171181	0.1015	15.0	147.11786222457886
3	-1706.5459	752.79193	-669.8564	-3765.1296	224.17647	-10.6947365	0.3062167	-7.8374248	-10.842825	16000	9.36985e-08	414776.6	-0.012244205	-2950.625	0.9128793	0.015378548	0.10375	16.0	196.13504004478455
4	-1687.4781	492.4744	-588.52985	-2877.5967	227.0	-13.204565	0.57976496	-2.9451954	-13.332391	20000	1.0374188e-07	384500.1	-0.020209664	-2673.5938	0.9122169	0.015097273	0.1115	44.0	245.26699423789978
5	-1954.0869	679.77606	-861.9702	-3321.1187	240.9375	-15.547803	0.6000957	-6.543278	-15.669973	24000	6.142259e-08	476451.88	-0.017682847	-3115.1562	0.9138264	0.015073889	0.11475	37.0	294.22261595726013
6	-1857.089	813.8232	-665.6499	-3499.479	263.4	-17.921597	1.4990556	7.161808	-18.122221	28000	-5.4240226e-09	448977.6	-0.014346876	-2723.9688	0.912551	0.015397793	0.09	21.0	343.2203233242035
7	-2042.1927	909.2136	-1039.4149	-4231.3027	266.46667	-20.353754	0.13463531	-16.254126	-20.389372	32000	-7.033348e-09	487818.34	-0.017694477	-2959.9688	0.9081303	0.015040895	0.1025	33.0	392.3721168041229
8	-1748.0088	774.3947	-819.4773	-3802.182	241.0	-22.654922	0.39227742	-17.597923	-22.73556	36000	2.1457671e-09	392182.75	-0.024353338	-2367.9688	0.9036892	0.015206016	0.12225	63.0	441.79246377944946
9	-1740.8665	484.03345	-1214.8251	-3042.7192	230.0	-24.765621	0.32348445	-18.567999	-24.838467	40000	2.9802322e-08	418485.06	-0.019138148	-2471.3125	0.89660645	0.015030234	0.1235	32.0	490.91454553604126
