Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-897.7849	278.79083	-380.13315	-1478.8154	149.42308	-0.11404869	0.10586769	0.23768862	-0.35346347	4000	-9.447336e-09	223675.05	-0.023137677	-4346.1875	0.9189385	0.015142204	0.1385	72.0	46.77474546432495
1	-876.37445	306.72614	-408.55292	-1491.1744	151.6923	-4.9809	0.7714679	-1.8683885	-5.71719	8000	1.001358e-08	215770.05	-0.025370713	-2943.4219	0.92157	0.015016018	0.1485	61.0	93.54900121688843
2	-888.6693	289.62683	-389.9261	-1680.3424	149.42308	-8.574722	0.4928771	-2.796182	-8.7928295	12000	5.424023e-08	216629.39	-0.019027546	-2160.8125	0.9190364	0.015002863	0.11225	41.0	140.20177483558655
3	-973.7681	273.70407	-496.6657	-1696.8583	149.8077	-11.188386	0.30204013	-6.9996805	-11.296168	16000	4.2915342e-09	247402.27	-0.021747187	-2268.7344	0.91740197	0.015087674	0.12725	43.0	186.6301453113556
4	-932.9236	380.52725	-513.94366	-2160.594	154.68	-13.730162	0.12615216	-11.514581	-13.774362	20000	4.74751e-08	235610.52	-0.021855466	-2018.4062	0.91262406	0.015250116	0.1345	53.0	233.27443885803223
5	-1098.8302	444.96646	-505.9986	-2154.497	152.38461	-16.023201	0.15474088	-13.958501	-16.085215	24000	5.0604342e-08	285313.75	-0.021071455	-2320.6562	0.91741467	0.015163326	0.12525	36.0	279.6664562225342
6	-863.2651	410.39755	-417.60385	-2304.5608	149.0	-18.457966	0.22600651	-14.123082	-18.498163	28000	-4.8279762e-08	215251.7	-0.017805269	-1693.4062	0.91667324	0.0150361825	0.125	27.0	326.18864703178406
7	-937.95544	248.78165	-436.27438	-1491.2833	146.96297	-20.549797	0.100912265	-18.980835	-20.57719	32000	-1.7940998e-08	227133.56	-0.00496254	-1846.7031	0.91735387	0.018353568	0.188	5.0	372.1091191768646
8	-981.53674	326.77502	-506.1075	-1948.2909	147.77777	-22.706623	0.035523687	-22.255026	-22.72063	36000	-6.046891e-08	240642.14	-0.020642644	-1938.2969	0.9176457	0.015013779	0.14375	36.0	418.2805826663971
9	-1049.4194	387.24484	-474.98132	-1820.8317	158.52	-24.89558	0.1259152	-21.830715	-24.913023	40000	-3.772974e-08	253991.55	-0.00855398	-2010.9062	0.9194578	0.015159543	0.20975	6.0	464.205913066864
10	-1000.2806	321.5138	-516.75415	-1764.0082	150.57692	-27.12651	0.021845242	-26.820658	-27.13544	44000	-7.903576e-08	231406.98	-0.026772603	-1840.0312	0.91976035	0.015083707	0.159	60.0	510.7550210952759
11	-1010.6429	320.78595	-482.45108	-1580.7467	147.14815	-29.25542	0.015731506	-29.00805	-29.262377	48000	1.7881394e-10	237876.22	-0.024507815	-1871.7344	0.9143485	0.012336107	0.1365	79.0	557.434974193573
12	-943.63513	384.257	-496.2582	-2144.404	150.96153	-31.387686	0.07066181	-29.808844	-31.3977	52000	-5.1647426e-08	214851.89	-0.01924413	-1615.7656	0.90475035	0.015502959	0.1155	34.0	603.9020960330963
13	-1002.6376	319.08588	-488.4312	-1713.0123	152.65384	-33.390015	0.008069088	-33.252533	-33.39337	56000	3.0487776e-08	225039.92	-0.022815887	-1774.8594	0.90634155	0.015141794	0.14875	45.0	650.3394281864166
14	-955.34467	276.52396	-526.8334	-1608.4656	146.51852	-35.46805	0.02399945	-34.762413	-35.47277	60000	1.513958e-08	212229.7	-0.01994849	-1672.2344	0.9065226	0.015177115	0.11275	36.0	696.6728854179382
15	-915.98267	261.531	-470.88742	-1347.4087	146.07408	-37.4985	0.00939352	-37.363117	-37.502384	64000	5.424023e-08	204125.98	-0.022397473	-1601.7656	0.90306497	0.015125822	0.15425	34.0	743.056494474411
16	-952.7833	287.14746	-497.63147	-1540.8131	151.42308	-39.488373	0.009193989	-39.329937	-39.491543	68000	-2.3126603e-08	204098.16	-0.006674956	-1585.1406	0.9063828	0.01586849	0.1905	6.0	789.1588568687439
17	-1051.0486	372.32175	-466.911	-1949.1444	153.5	-41.471767	0.0050420105	-41.39588	-41.473694	72000	-5.1021576e-08	238933.31	-0.014942849	-1876.4375	0.9066991	0.015528553	0.12875	15.0	835.2642097473145
18	-1051.1532	403.50168	-439.9836	-2067.2031	164.29167	-43.61699	0.0070194984	-43.52017	-43.619366	76000	-4.315376e-08	228349.94	-0.018220881	-1783.1719	0.9067483	0.0154232355	0.1125	31.0	881.64799284935
19	-900.36395	322.41882	-459.4581	-1543.0392	160.25	-45.71971	0.010896941	-45.421764	-45.721832	80000	7.390976e-09	198927.16	-0.021012878	-1541.7188	0.91146713	0.015182951	0.1175	37.0	927.8026645183563
