Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1531.1558	444.80804	-846.2862	-2715.466	172.04546	0.32970676	0.12250008	0.5373305	-0.060034275	4000	-5.662441e-09	515078.84	-0.023807546	-6578.2188	0.9189385	0.013632418	0.142	79.0	47.78387379646301
1	-1569.6321	363.45377	-728.3057	-2170.5508	170.82608	-4.487459	0.9737364	-0.4981665	-5.3659062	8000	-1.7434358e-08	525749.56	-0.024674632	-5038.8125	0.91495484	0.015043478	0.1785	77.0	95.24587297439575
2	-1664.839	334.43393	-811.44507	-2099.9177	171.95653	-8.317679	0.40387347	-5.7773046	-8.57279	12000	8.356571e-08	534111.94	-0.025960881	-3699.375	0.91731423	0.015094868	0.15475	79.0	142.99469661712646
3	-1729.6211	427.3067	-1015.3832	-3191.7769	181.04546	-11.101781	0.17317122	-9.818162	-11.183678	16000	-2.2411346e-08	608245.8	-0.020285074	-3595.25	0.90817827	0.01514363	0.14625	42.0	190.20171070098877
4	-1692.203	430.42017	-1041.2614	-2658.3892	176.0	-13.648655	0.07515226	-12.565085	-13.684931	20000	-5.90086e-09	547993.06	-0.011615777	-3102.9375	0.90442544	0.015044606	0.1375	15.0	237.06762623786926
5	-1502.1173	496.63574	-777.5817	-3287.2754	179.5	-15.939071	0.14135504	-13.005178	-15.977093	24000	-2.616644e-08	490296.12	-0.019306546	-2667.5312	0.9028967	0.015291397	0.1375	34.0	284.052453994751
6	-1617.4354	492.24628	-709.1645	-2337.3	179.90909	-18.0548	0.21037295	-13.764885	-18.090458	28000	7.688999e-09	513866.72	-0.023911005	-2788.25	0.9044033	0.015092054	0.14275	62.0	331.500431060791
7	-1560.881	659.5043	-661.30817	-3185.8582	179.68182	-20.208735	0.07088859	-19.267912	-20.23571	32000	7.7843666e-08	499969.6	-0.023049282	-2658.1875	0.90454495	0.015140844	0.1385	37.0	378.94965720176697
8	-1539.1461	523.1708	-699.7158	-3263.5308	167.95653	-22.306059	0.07095568	-21.532936	-22.332724	36000	7.936359e-08	493362.9	-0.021379385	-2665.9062	0.9023858	0.015054858	0.122	51.0	426.09506464004517
9	-1453.523	325.9772	-786.087	-2000.8949	169.78261	-24.402462	0.112706974	-22.479092	-24.42664	40000	-5.6624412e-08	441505.72	-0.01699887	-2439.1875	0.9016807	0.01551449	0.13525	26.0	472.91540360450745
10	-1596.9788	347.72638	-921.2275	-2446.3005	169.47826	-26.429626	0.025159044	-26.118176	-26.43946	44000	3.695488e-09	503570.3	-0.023937985	-2677.9375	0.8994883	0.012772877	0.1415	79.0	520.7943892478943
