Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1654.3221	448.6193	-985.1718	-2877.5537	172.04546	0.32970676	0.12250008	0.5373305	-0.060034275	4000	5.5372716e-08	569466.7	-0.023892494	-6927.8125	0.9189385	0.013373014	0.1395	79.0	46.217318058013916
1	-1761.6533	656.34796	-853.31836	-4336.291	172.95653	-4.4410443	0.9616187	-0.5467556	-5.3550167	8000	6.5803526e-08	654234.6	-0.025579434	-5680.75	0.9147255	0.015032369	0.161	78.0	92.25344014167786
2	-1788.8695	330.8914	-929.83887	-2152.4229	171.56522	-8.344198	0.49719587	-2.6165013	-8.620489	12000	-1.6212464e-08	590759.1	-0.026301783	-3840.75	0.91771436	0.012909007	0.16225	79.0	138.40526413917542
3	-1777.6735	357.68896	-1104.7516	-2914.0786	180.5	-11.099361	0.17915367	-9.636836	-11.183721	16000	-8.732081e-08	614778.75	-0.012388337	-3469.25	0.91301465	0.015099871	0.16125	13.0	184.20742416381836
4	-1778.8403	423.28445	-968.1646	-2680.5513	174.90909	-13.542279	0.06513069	-12.891892	-13.576045	20000	-3.3289194e-08	587656.0	-0.020559762	-3198.375	0.9111709	0.015098686	0.12525	46.0	230.33183336257935
5	-1669.1812	463.08133	-907.29614	-3189.6921	180.7619	-15.8173065	0.071850896	-14.934348	-15.847035	24000	1.116246e-07	557794.1	-0.0055474294	-2948.625	0.9071575	0.015153491	0.18575	5.0	275.8652923107147
6	-2095.1233	581.4258	-1065.831	-3206.228	194.25	-17.792145	2.0502825	10.030801	-18.012707	28000	-7.300079e-08	714062.25	-0.02449409	-3859.375	0.9069946	0.015109661	0.141	38.0	321.67488408088684
7	-1774.9733	830.08594	-826.15985	-3605.8735	184.38095	-20.351555	0.13252708	-18.542706	-20.389557	32000	-4.425645e-08	617393.8	-0.023885285	-2974.0625	0.9024819	0.015230413	0.14625	53.0	367.5840799808502
8	-2299.963	2039.8093	-828.3086	-10989.248	187.80952	-22.338785	0.8753856	-12.3572235	-22.531584	36000	-2.3841858e-08	1088751.1	-0.026128326	-5185.625	0.9003189	0.015104278	0.1625	45.0	413.67317295074463
9	-3102.275	3789.6223	-1052.7184	-15564.919	215.72223	-24.72443	1.4384484	-13.221498	-25.081	40000	4.5001507e-08	2057380.0	-0.024881534	-8407.375	0.90177065	0.015178717	0.1165	29.0	459.5029170513153
10	-2841.6018	3701.465	-800.9829	-16689.11	215.05556	-27.949436	0.858772	-17.631882	-28.141409	44000	1.6450882e-08	1869696.2	-0.018788224	-6565.875	0.9013308	0.0150045	0.09925	18.0	505.2500922679901
11	-2018.8827	1153.342	-980.82263	-6333.617	178.0	-30.881378	0.15453249	-27.79517	-30.905842	48000	-1.16840006e-07	838233.25	-0.0319632	-3269.6875	0.9052785	0.015038817	0.16025	74.0	551.2862713336945
12	-3680.9612	5856.016	-859.044	-23414.492	228.35294	-32.957546	0.04558619	-32.42583	-32.972355	52000	5.018711e-08	3413118.2	-0.02635353	-8303.0	0.9042942	0.015200665	0.12925	28.0	597.0577070713043
13	-3291.0151	5624.5513	-1032.72	-23451.275	228.14285	-34.601234	6.912806	15.355296	-36.053196	56000	-1.2397766e-08	4989248.5	-0.014166729	-21062.0	0.90498567	0.015018354	0.168	7.0	642.5321373939514
14	-3986.439	6393.8286	-601.10815	-26739.287	246.86667	-39.29377	2.0892832	-13.639236	-39.555077	60000	1.0205805e-07	3631052.0	-0.018061416	-9075.75	0.90536815	0.015489384	0.1155	17.0	688.4120426177979
15	-3887.5444	7699.685	-970.5039	-33244.855	244.625	-42.38904	0.045166973	-41.34908	-42.395435	64000	-8.070469e-08	3719032.2	-0.022575947	-6857.25	0.9096944	0.015029329	0.1375	33.0	734.4935290813446
16	-2585.8777	2234.1687	-1057.8408	-8847.334	198.66667	-44.9657	0.021588765	-44.520363	-44.970787	68000	-2.9563903e-08	1789936.4	-0.018924596	-4603.75	0.9134826	0.015345947	0.1205	20.0	780.2801403999329
17	-5867.98	6568.04	-857.84705	-20500.723	331.33334	-47.084892	0.0061062668	-46.960236	-47.087143	72000	-4.1007997e-08	3312180.5	-0.0075184368	-8193.0	0.91284007	0.016189689	0.154	6.0	825.86430311203
18	-2966.9878	4427.6523	-817.98975	-20316.047	226.23529	-49.799187	0.0066132164	-49.673717	-49.80107	76000	-4.482269e-08	1819910.8	-0.017709382	-3963.0	0.91329026	0.016013494	0.1405	20.0	871.5877668857574
19	-2688.3613	2090.537	-1089.0231	-8463.388	224.41176	-51.752934	0.015438175	-51.482628	-51.755905	80000	6.270409e-08	1064902.8	-0.022830782	-2971.5	0.9119176	0.015201261	0.127	41.0	917.5838007926941
20	-5987.017	6230.4546	-973.9626	-19774.441	341.9091	-53.424232	0.023327146	-53.06327	-53.429813	84000	-1.0123849e-07	2973752.2	-0.021683492	-7534.5	0.90579754	0.015596131	0.11075	23.0	963.428423166275
21	-3024.1174	1755.8857	-1290.3029	-7528.8076	251.93333	-56.002728	0.0021429996	-55.96098	-56.003857	88000	-6.842613e-08	1040599.75	-0.01553081	-3229.5	0.9024987	0.015195533	0.14325	13.0	1009.1277523040771
22	-5662.8193	5201.757	-1348.7426	-16006.428	350.5	-57.767426	0.09237997	-56.102135	-57.77889	92000	8.444488e-08	2737255.0	-0.00684251	-6868.25	0.8993876	0.01555641	0.11275	6.0	1054.7464437484741
23	-4795.87	6807.95	-871.7484	-24078.635	290.15384	-60.214592	0.1338144	-57.479977	-60.22864	96000	-8.34167e-08	3167901.8	-0.02791082	-6821.25	0.8980813	0.0150916055	0.14275	34.0	1100.48548412323
24	-9454.61	9109.861	-1474.3075	-24178.299	460.85715	-62.67139	0.1826476	-58.67271	-62.69429	100000	4.7683717e-08	5177594.0	-0.02276963	-13125.5	0.90082735	0.015339904	0.12875	26.0	1146.3202893733978
25	-11160.625	11718.789	-1772.9491	-30543.592	467.5	-65.96511	0.0015623287	-65.942825	-65.96602	104000	1.1372566e-07	5917047.0	-0.022527218	-13357.0	0.9026747	0.015491415	0.14225	19.0	1192.1127066612244
26	-7999.2686	8926.058	-1347.3468	-27523.096	391.9	-69.20548	0.0022139284	-69.1843	-69.20667	108000	2.2828578e-08	4610211.5	-0.02061099	-9623.5	0.90318716	0.015087661	0.114	22.0	1237.8779578208923
27	-9040.143	9929.232	-904.09314	-27564.396	398.4	-71.920784	0.0049707335	-71.87717	-71.92288	112000	-2.193451e-08	5897801.5	-0.019567706	-11729.0	0.9038712	0.015121664	0.124	14.0	1283.3705065250397
