Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-2122.3997	1230.1895	-1085.2021	-5825.94	184.33333	-0.10723437	0.3820293	0.69272995	-0.64624596	4000	3.194809e-08	861205.7	-0.02011061	-8267.9375	0.9189385	0.015126949	0.12325	31.0	46.68953776359558
1	-3084.9395	2468.5747	-1064.1532	-10663.64	229.58824	-4.667128	1.5452785	1.7910281	-5.7875075	8000	-4.351139e-09	1423121.4	-0.017783202	-8396.875	0.91441464	0.015228387	0.11475	29.0	93.05069899559021
2	-2242.3772	1361.7551	-1019.03015	-5589.6455	194.05	-8.875832	0.45611954	-5.461014	-9.096758	12000	-1.1712313e-08	938525.4	-0.0234221	-4255.375	0.90909654	0.015055831	0.14275	61.0	139.69338154792786
3	-2681.4883	1464.5104	-1234.7781	-6756.604	209.1579	-11.371951	0.26516825	-6.738297	-11.465893	16000	2.9742719e-08	1115724.8	-0.004389678	-4648.5	0.8977036	0.015088559	0.15175	6.0	185.7721471786499
4	-2167.407	734.7128	-876.58563	-3778.8467	180.54546	-13.785316	0.26605132	-9.490745	-13.870297	20000	4.914403e-08	876073.1	-0.022481842	-3692.875	0.8972717	0.015106853	0.11875	56.0	232.31129837036133
5	-2758.1846	2327.8623	-953.38196	-11139.677	231.35294	-15.931295	0.4060269	-8.366348	-16.008278	24000	-5.4240226e-09	1096801.6	-0.0135162715	-4316.375	0.9030533	0.015430634	0.115	15.0	278.61405849456787
6	-2585.7415	1448.6943	-961.89246	-7014.561	202.52632	-18.261633	0.04482265	-17.617195	-18.282751	28000	7.56979e-08	1141585.1	-0.022347167	-4318.375	0.9025858	0.015028467	0.14925	36.0	325.22621488571167
7	-2454.4617	1331.6744	-1401.4945	-7253.4155	207.78947	-20.521317	0.11863248	-18.128931	-20.551311	32000	-8.273125e-08	912687.6	-0.020663736	-3578.625	0.8956248	0.01503435	0.14375	36.0	371.62213921546936
8	-1956.2635	555.24896	-1112.8055	-3402.1538	179.95454	-22.607088	0.049946494	-21.356878	-22.621914	36000	6.6757204e-09	731809.2	-0.021804592	-2935.0625	0.88858706	0.01507243	0.11725	69.0	418.34989857673645
9	-2362.5972	1223.5674	-1088.3033	-6072.855	197.6	-24.476824	0.13010909	-21.67055	-24.508009	40000	-1.026094e-07	933845.5	-0.007828246	-3604.8125	0.883657	0.016052028	0.1225	8.0	464.36513662338257
10	-1937.3705	534.89453	-1092.5065	-2834.3733	176.95	-26.567055	0.030788971	-26.110466	-26.5769	44000	9.715557e-08	826868.6	-0.023107816	-3340.125	0.88363934	0.015064539	0.1515	49.0	510.9204246997833
11	-2242.3306	1135.8993	-1118.152	-5072.5693	198.6	-28.583601	0.01986952	-28.373041	-28.59155	48000	-4.655123e-08	889527.8	-0.007524444	-3413.6875	0.8760843	0.016371898	0.2165	5.0	556.8601751327515
12	-1648.382	501.8914	-753.00946	-2676.2617	175.04546	-30.580462	0.35822994	-24.416319	-30.62606	52000	6.151199e-08	568506.2	-0.024470355	-2375.0625	0.8756063	0.013576258	0.13925	79.0	603.664562702179
13	-1684.6542	733.75165	-804.97815	-4201.317	177.5	-32.341293	0.04265311	-31.304176	-32.35266	56000	-1.6498565e-07	602907.1	-0.02346237	-2338.0625	0.8710716	0.0150898155	0.14025	32.0	649.9175562858582
14	-1538.7817	359.01523	-868.20135	-2195.585	162.91667	-34.05988	0.017707247	-33.782177	-34.06597	60000	-3.0398368e-09	486041.97	-0.022301627	-2067.1875	0.86397314	0.015189495	0.13625	47.0	696.4055016040802
15	-1777.7561	1222.843	-819.3239	-7238.1997	171.52174	-34.421555	6.003727	6.5768538	-35.701294	64000	2.7000905e-08	698947.6	-0.0139794005	-5915.6875	0.86322194	0.015575294	0.1065	15.0	742.6322560310364
16	-1601.0651	501.5825	-863.0596	-3062.9097	166.45833	-37.49742	0.39049268	-25.609583	-37.53373	68000	-8.887053e-08	522484.16	-0.02462677	-2303.6875	0.8603718	0.015019182	0.137	64.0	789.1575095653534
17	-2412.1335	1532.5122	-980.252	-7056.1104	195.8	-38.94918	2.8626013	-4.461282	-39.286743	72000	-9.137392e-08	1004088.06	-0.018689776	-4334.125	0.8566344	0.015026091	0.14025	20.0	835.3379828929901
18	-2138.2073	1391.4265	-879.3869	-7140.138	186.38095	-41.491703	0.5654193	-19.15266	-41.538933	76000	-1.6570091e-08	857959.25	-0.022676192	-3462.875	0.85865474	0.015041623	0.1235	36.0	881.8151350021362
19	-2426.9963	1692.6057	-1064.71	-6951.608	196.5	-43.644474	0.17405516	-39.411953	-43.677067	80000	1.1205673e-08	1035281.06	-0.018419128	-4035.625	0.85955644	0.015241874	0.1055	22.0	928.1569843292236
20	-2567.7961	1006.7498	-1290.7352	-5032.3667	208.05263	-45.949493	0.046309	-44.741062	-45.955112	84000	9.131431e-08	1043876.06	-0.014440178	-4299.0625	0.86116934	0.015254236	0.13725	17.0	974.2312293052673
21	-2839.7036	1794.4147	-1117.6477	-6471.994	210.8125	-48.295464	0.03659732	-47.799435	-48.30496	88000	-6.4253804e-08	1388752.6	-0.022259112	-5470.75	0.8611696	0.0150039885	0.12075	26.0	1020.6415481567383
22	-2989.5757	1873.1152	-1336.812	-8305.001	218.77777	-50.906067	0.026602	-50.22862	-50.911224	92000	3.0994416e-09	1310212.8	-0.020682873	-5036.125	0.8583318	0.015370122	0.134	28.0	1066.8529806137085
23	-1967.6487	596.4895	-1161.5599	-3145.9885	188.42857	-53.403404	0.011329281	-53.138847	-53.40533	96000	4.376471e-08	712689.0	-0.018210897	-2900.875	0.85932595	0.015262142	0.12	22.0	1113.0500285625458
24	-4782.495	4829.4146	-1659.8501	-17144.75	273.7857	-55.26019	0.3303862	-50.7533	-55.32473	100000	7.95722e-08	2639181.0	-0.030620905	-8787.0	0.86064285	0.015100081	0.16525	60.0	1159.6979050636292
25	-2510.2952	2075.1943	-912.29346	-9916.22	198.25	-58.42668	0.15904728	-52.223763	-58.438026	104000	1.1503697e-08	1208533.1	-0.007076335	-4169.375	0.8554158	0.017044704	0.117	4.0	1205.7955079078674
26	-2295.143	1634.072	-1003.31287	-6470.2983	198.35	-60.679432	0.012567957	-60.408756	-60.682453	108000	-9.346008e-08	991400.94	-0.014128535	-3303.875	0.8551991	0.0150989285	0.12275	11.0	1251.7887749671936
27	-2035.4	1099.8951	-827.5955	-6462.379	181.63637	-62.630966	0.10596489	-59.362286	-62.641155	112000	3.6418438e-08	794268.3	-0.015409159	-2834.375	0.85589015	0.015054403	0.117	18.0	1297.9796772003174
28	-1508.2115	351.4999	-967.6184	-2215.0852	161.5	-64.44888	0.097560905	-61.944187	-64.46128	116000	-1.1608004e-08	429745.03	-0.02028078	-1730.1562	0.8561241	0.01532175	0.1325	30.0	1344.1707601547241
29	-1971.5355	2211.8984	-986.99963	-11742.86	186.4762	-65.910126	0.011303163	-65.75505	-65.91294	120000	-6.5863133e-09	874106.4	-0.010599733	-2676.6875	0.85515827	0.016611768	0.10575	7.0	1390.362737417221
30	-2121.3088	2890.0632	-1014.4547	-14300.174	193.05263	-67.68167	0.011985114	-67.15756	-67.6838	124000	-4.6253206e-08	1212494.0	-0.015966801	-3697.375	0.8552123	0.015298073	0.139	19.0	1436.7443115711212
31	-2889.3633	3373.3477	-936.9645	-14187.666	213.70589	-69.77396	0.028018504	-68.990456	-69.777435	128000	7.224083e-08	1713791.4	-0.019749053	-5374.0	0.854542	0.015170281	0.10225	22.0	1483.0911993980408
32	-1953.0444	2169.1055	-1019.3217	-11529.393	183.90475	-72.27647	0.024036929	-71.872696	-72.280815	132000	3.0875206e-08	872841.9	-0.02505989	-2761.625	0.8553038	0.015179108	0.1435	46.0	1529.656481742859
33	-2755.205	4584.2397	-1019.9946	-22159.082	207.6842	-74.13154	0.0032677313	-74.09041	-74.13295	136000	-6.6161157e-09	1827169.6	-0.022345	-4666.0	0.86085397	0.015054767	0.1065	30.0	1576.1146428585052
