Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1449.6537	355.5186	-820.62335	-2415.6477	149.42308	-0.114048675	0.10586769	0.23768863	-0.35346344	4000	1.1622905e-08	493584.97	-0.023870602	-6562.2188	0.9189385	0.015011846	0.14175	71.0	45.74825978279114
1	-1467.2405	349.64154	-845.5081	-2337.4097	151.61539	-4.9821467	0.7731116	-0.9635033	-5.7034965	8000	-4.798174e-08	495865.16	-0.026312603	-4624.3125	0.92116404	0.01500374	0.15075	67.0	91.32287359237671
2	-1418.2402	365.65475	-843.99646	-2598.5134	149.76923	-8.655453	0.23240723	-6.9939265	-8.809526	12000	7.1227554e-08	465367.72	-0.019820815	-3172.1875	0.91955376	0.015367409	0.11825	37.0	136.62943768501282
3	-1539.3633	480.58466	-967.31256	-3157.7434	150.0	-11.189866	0.21711878	-7.675429	-11.2802725	16000	1.4901161e-08	555643.1	-0.019702943	-3379.0	0.9184113	0.01518841	0.121	31.0	181.9655876159668
4	-1605.0145	568.08307	-979.7759	-3078.9355	159.58333	-13.696121	0.086227715	-12.729418	-13.738117	20000	-7.271767e-08	593903.7	-0.0196254	-3442.4375	0.9147362	0.015114209	0.1225	33.0	227.32104754447937
5	-1739.2745	658.84845	-949.6749	-4361.1396	155.68	-16.050621	0.4687386	-7.558879	-16.164505	24000	-4.0650367e-08	653031.2	-0.018705621	-3587.5	0.9179983	0.015838254	0.14	25.0	272.6168165206909
6	-1654.9022	701.5572	-982.44745	-4185.0303	157.88	-18.558777	0.038636893	-18.239231	-18.576649	28000	9.429455e-08	630776.25	-0.022734102	-3230.75	0.91996694	0.0151033085	0.13375	44.0	318.22976088523865
7	-1612.3562	505.49228	-1128.596	-3846.5237	155.64	-20.838406	0.08121563	-19.436674	-20.857244	32000	-1.0123849e-07	577130.3	-0.027686512	-3047.3125	0.91370887	0.014262369	0.15775	79.0	363.89289355278015
8	-1726.4647	629.4141	-1083.829	-3319.5771	156.52	-23.040531	0.069485985	-21.61805	-23.055347	36000	9.834767e-09	653796.56	-0.023782762	-3303.0	0.91227156	0.0150071755	0.1235	50.0	409.4318382740021
9	-2282.9565	1085.7554	-1363.2166	-5656.705	176.5	-25.304008	0.06702683	-24.243063	-25.32073	40000	-4.1514635e-08	1007379.94	-0.024229113	-4719.75	0.9146314	0.01524302	0.14325	45.0	454.8637137413025
10	-2073.6228	907.7448	-1022.61084	-4149.1724	171.26086	-27.951145	0.04018604	-27.163574	-27.960283	44000	-9.790063e-09	878013.56	-0.02213662	-4061.375	0.92149496	0.015240771	0.13175	27.0	500.20531606674194
11	-1805.4603	843.6099	-1019.48755	-4755.3706	158.08333	-30.384825	0.14399305	-26.61389	-30.400387	48000	1.3667345e-07	730649.2	-0.027336193	-3381.25	0.9212971	0.015066144	0.153	65.0	545.7613708972931
12	-2304.348	2002.2678	-1143.3029	-10771.874	171.04347	-32.320866	2.0890007	-6.242258	-32.61069	52000	-8.225441e-08	1212090.8	-0.009255548	-5458.125	0.91523504	0.015168236	0.09625	8.0	590.8861391544342
13	-1932.9592	581.80853	-1241.175	-3442.369	166.78261	-35.13356	0.011817564	-34.879555	-35.136963	56000	5.9247018e-08	727665.4	-0.01959127	-3391.375	0.91506004	0.0152567765	0.12	30.0	636.2899317741394
14	-2210.4353	952.94995	-1081.0	-4198.4683	178.81818	-37.245434	0.71886	-24.879011	-37.320633	60000	-4.1246413e-08	912423.2	-0.0068699913	-3985.0625	0.913286	0.017422179	0.191	5.0	681.465309381485
15	-2662.9656	1814.2736	-1023.5831	-7847.351	199.3158	-38.75438	5.6431446	14.551393	-39.62671	64000	2.1159648e-08	1277426.5	-0.004302227	-7769.625	0.9131578	0.015119025	0.14675	5.0	726.6406626701355
16	-2224.9473	1822.8676	-1113.812	-9872.782	180.72728	-42.21164	0.010943864	-42.073685	-42.215443	68000	-1.3381243e-08	1123208.8	-0.007488057	-4148.625	0.9132672	0.015035007	0.12275	8.0	771.6837389469147
17	-6147.9575	6893.796	-1296.882	-26081.021	296.6154	-44.402145	0.9366052	-31.709414	-44.55417	72000	-2.2411346e-08	4166110.2	-0.008802404	-14153.0	0.9132673	0.015170941	0.12075	6.0	816.6838014125824
18	-4304.83	3879.8142	-1190.4397	-11723.203	260.33334	-48.398907	0.20873213	-45.241688	-48.42126	76000	-4.8458578e-08	2315028.5	-0.011581073	-7794.0	0.91394544	0.015595636	0.1605	7.0	861.8246803283691
19	-6853.23	9961.085	-1355.4922	-39498.992	305.15384	-51.367516	0.0043653576	-51.318474	-51.36885	80000	4.8160555e-08	6108227.0	-0.021632705	-14341.5	0.91533715	0.015468932	0.12775	17.0	907.0059473514557
20	-4552.547	4339.774	-1428.4948	-16040.05	273.0	-54.40868	4.9087057	-2.4650142	-55.06868	84000	1.192093e-10	2597844.2	-0.020763235	-10013.5	0.9185767	0.015153098	0.1135	27.0	952.2610294818878
21	-3414.9104	2902.4597	-1029.0256	-11220.873	234.375	-57.77032	0.008867007	-57.659267	-57.77181	88000	-7.1182846e-08	1716419.8	-0.017846564	-4735.0	0.9226993	0.015432248	0.0845	18.0	997.4402945041656
22	-3549.7358	2551.9734	-1269.0103	-9705.683	231.41176	-59.877705	0.0033202518	-59.824345	-59.87853	92000	-3.6358834e-08	1744288.5	-0.0055035246	-4819.5	0.92200184	0.015170309	0.15125	6.0	1042.647717475891
23	-1889.0955	1051.0841	-879.7935	-5220.2837	172.91304	-61.971706	0.005292276	-61.901947	-61.972656	96000	2.8729438e-08	735127.44	-0.02258137	-2195.8125	0.9215727	0.0150197195	0.1245	54.0	1088.1618032455444
24	-2553.1802	1824.6027	-1172.5779	-7352.9375	185.14285	-63.223686	2.6843023	-11.535614	-63.43888	100000	-1.3947487e-08	1203167.6	-0.017680159	-4026.5	0.91889405	0.015277049	0.1235	19.0	1133.4073493480682
25	-2979.782	2271.6868	-1362.3977	-9282.666	209.63158	-65.17227	0.051646817	-63.011322	-65.17611	104000	-1.3113022e-09	1486947.6	-0.008897433	-4150.5	0.92137074	0.016059397	0.1765	7.0	1178.5810768604279
26	-1999.8097	900.29315	-1090.6367	-4316.715	177.63637	-66.77734	5.3142123	39.284798	-67.15033	108000	-4.5239926e-08	725515.9	-0.005798655	-2434.3125	0.9223574	0.015146966	0.166	6.0	1223.6989023685455
27	-2245.8262	1032.5815	-933.31775	-4184.944	175.09091	-68.66022	0.024684727	-68.0082	-68.66215	112000	2.8789044e-08	871672.06	-0.018751483	-2651.0625	0.9227821	0.015001673	0.12625	25.0	1268.9236447811127
28	-2839.574	1449.4042	-1042.1561	-6849.819	204.47368	-70.26713	0.015363688	-69.66071	-70.26856	116000	2.3841857e-09	1190334.9	-0.02151059	-3660.625	0.9195127	0.015108644	0.12125	33.0	1314.3354499340057
29	-2872.5908	1341.9341	-1134.2251	-5578.6377	206.94737	-72.14225	0.21861774	-68.455376	-72.16122	120000	6.902218e-08	1134442.4	-0.022045115	-3638.0	0.91441786	0.015089165	0.1085	33.0	1359.7535519599915
30	-2067.5142	970.31616	-1149.4999	-4864.449	189.33333	-74.068245	0.013860847	-73.91668	-74.07007	124000	-1.10641125e-07	733939.56	-0.028176289	-2411.0625	0.9117029	0.015026707	0.16175	71.0	1405.6833148002625
31	-2345.0122	978.0022	-1051.7472	-4414.3423	189.09525	-75.6554	0.004279501	-75.53115	-75.65603	128000	2.6255845e-08	862253.9	-0.019003347	-2864.1875	0.90837264	0.01504465	0.137	28.0	1450.9555308818817
32	-2395.6648	1445.6744	-1078.9249	-6519.262	189.4762	-77.36603	0.006561101	-77.09922	-77.36663	132000	5.8561564e-08	1006139.5	-0.022231903	-3139.875	0.9139359	0.015110349	0.11725	29.0	1496.3185393810272
33	-2916.8403	1488.4905	-1255.0111	-7020.5537	212.0	-79.16713	0.10096434	-75.21263	-79.17397	136000	-4.7683717e-08	1306766.6	-0.023650676	-4321.75	0.9192153	0.015239999	0.1315	31.0	1541.7165603637695
34	-2845.7217	2094.0522	-1270.2888	-10135.886	217.27777	-81.28386	0.0011312959	-81.26631	-81.28424	140000	2.4080277e-08	1102876.1	-0.013476343	-3648.75	0.91522306	0.015346656	0.09375	14.0	1587.082810640335
35	-2645.3628	2083.2542	-1214.2133	-9253.639	194.65	-83.251915	0.0017367266	-83.23305	-83.252556	144000	7.033348e-08	1107834.4	-0.02078269	-3464.25	0.91544634	0.015316788	0.11525	23.0	1632.5136229991913
36	-3031.3486	2116.4136	-1192.6444	-9517.522	209.63158	-85.16734	0.0013819612	-85.142365	-85.167786	148000	-6.210804e-08	1355258.9	-0.017335635	-4292.5	0.91506696	0.015643355	0.10675	18.0	1677.863392829895
37	-3144.627	1149.3424	-1524.5012	-5658.089	225.47058	-87.284935	0.0057924786	-87.154076	-87.286026	152000	3.5762786e-09	1110247.8	-0.0144898575	-3974.875	0.9132828	0.0153748365	0.129	16.0	1723.16535282135
38	-3084.139	5436.576	-1152.6631	-26696.436	199.1	-89.33901	0.01277321	-89.16191	-89.3416	156000	7.659197e-09	2588518.8	-0.03029142	-5604.5	0.9122049	0.0150171975	0.13575	35.0	1768.4521696567535
39	-4333.8193	7878.5283	-1165.5665	-33305.707	245.6	-91.74162	0.009072802	-91.60943	-91.743	160000	-2.3841857e-09	3427524.8	-0.026174158	-8198.75	0.9138224	0.016192153	0.13525	24.0	1813.921273469925
40	-3681.332	8087.3667	-905.3814	-36941.7	213.0	-94.60244	0.0020121366	-94.57522	-94.60285	164000	-5.4478644e-08	3879783.5	-0.02610326	-7271.25	0.9138909	0.015386591	0.136	24.0	1859.277442932129
41	-2463.438	1327.6154	-1351.911	-5829.4243	190.38095	-97.287704	0.008091066	-96.96342	-97.28839	168000	-4.7773124e-08	942282.75	-0.024957579	-3084.6875	0.91228247	0.015309669	0.121	32.0	1904.5657629966736
42	-2319.7407	1407.4181	-975.3888	-5990.365	193.6	-99.08133	0.00034595284	-99.07425	-99.08145	172000	-5.066395e-09	865743.1	-0.02210733	-2638.875	0.9134512	0.015191962	0.1315	31.0	1950.0381016731262
43	-1738.316	502.72232	-1222.7894	-3160.9456	156.64	-100.70735	0.0006363167	-100.6975	-100.70751	176000	-7.879734e-08	531949.7	-0.023503914	-1768.0	0.91490626	0.015085904	0.12775	57.0	1995.8323419094086
44	-2980.1187	4640.8286	-1025.9497	-23026.643	197.8	-102.0553	0.09135985	-100.73684	-102.06599	180000	-8.1658364e-08	2146575.8	-0.010887368	-4680.25	0.91831493	0.016034963	0.134	7.0	2041.0697112083435
45	-2401.1687	1948.8362	-1145.7808	-10825.389	185.2381	-104.201546	0.00024771452	-104.19876	-104.20165	184000	-7.686019e-08	951373.06	-0.02277417	-2959.6875	0.91814023	0.015062326	0.131	31.0	2086.355791568756
46	-1888.3583	701.46155	-1167.905	-3891.7092	164.25	-105.97595	0.00043611944	-105.97019	-105.976074	188000	-3.3736228e-08	597376.44	-0.023686145	-2032.8125	0.918995	0.015060329	0.1295	55.0	2132.076292514801
47	-1844.3782	666.2891	-1074.4856	-3736.5227	174.77272	-107.45141	0.000608259	-107.43488	-107.451546	192000	-9.204447e-08	561941.94	-0.021164658	-1930.4375	0.918534	0.015014219	0.1345	35.0	2177.5867516994476
48	-1911.7404	771.71515	-1057.0542	-3660.7937	184.5238	-108.88733	0.06498141	-106.45399	-108.89043	196000	-9.4160434e-08	564944.06	-0.005005173	-1967.5625	0.9145832	0.016286504	0.19175	4.0	2222.8141412734985
49	-2074.665	547.06036	-1331.4673	-3836.7517	178.04546	-110.35602	0.0007570214	-110.338524	-110.356224	200000	-2.220273e-09	631568.44	-0.032835577	-2272.75	0.9144988	0.014896949	0.18725	79.0	2268.3057746887207
50	-2119.7883	834.39197	-1076.1069	-3805.037	180.54546	-111.94061	0.00035381853	-111.934326	-111.940735	204000	-6.0796737e-09	684642.9	-0.017919252	-2454.0	0.90743375	0.015426155	0.1305	27.0	2313.4104125499725
51	-2569.534	865.2478	-1494.1	-5159.7734	202.0	-113.603294	0.00081157015	-113.58566	-113.60347	208000	1.296401e-08	872863.8	-0.027383383	-3203.0	0.9079621	0.015082534	0.15225	75.0	2358.678977251053
52	-2316.2793	722.1715	-1113.3345	-3427.602	185.19048	-115.50215	0.0004469182	-115.495995	-115.50229	212000	8.9406965e-10	742329.4	-0.017378172	-2815.625	0.9034173	0.015438045	0.10725	23.0	2403.769240140915
53	-2178.3801	661.29675	-1166.8228	-3584.0725	181.95238	-117.31062	0.00027347094	-117.30822	-117.31074	216000	-3.1888485e-09	677253.25	-0.026128465	-2586.9375	0.89933944	0.015031698	0.15375	56.0	2449.2470281124115
54	-2492.7036	1089.539	-1551.4598	-5913.18	203.1579	-119.05061	0.0002928834	-119.04694	-119.05072	220000	2.193451e-08	827482.2	-0.01586184	-3095.0625	0.89240456	0.015504003	0.12875	18.0	2494.28374171257
55	-3179.4407	1444.3096	-1807.26	-6625.111	230.88235	-120.948265	0.00023173359	-120.94455	-120.94835	224000	9.730458e-09	1201834.2	-0.017526796	-4379.0	0.8889117	0.0152779985	0.1195	18.0	2539.1973493099213
56	-2680.5576	1145.811	-1518.0162	-5742.894	210.16667	-123.194244	0.00023693893	-123.18615	-123.1943	228000	3.6656857e-08	940756.4	-0.011157398	-3595.25	0.88992494	0.016465653	0.144	9.0	2583.9260969161987
57	-2943.9077	1564.001	-1283.4294	-8029.805	230.0	-125.258255	0.0003568486	-125.25289	-125.25837	232000	1.0290742e-07	1152466.1	-0.02109913	-3949.75	0.8908681	0.015793463	0.1015	22.0	2628.835265636444
58	-2158.184	527.6533	-1506.9209	-3876.9988	187.5238	-127.40009	0.00029560167	-127.3957	-127.4002	236000	-1.1742115e-08	666794.5	-0.027610123	-2561.5	0.88708043	0.014750045	0.14125	79.0	2674.3961884975433
59	-2652.4885	1311.2244	-1732.9646	-7597.972	210.42105	-129.15782	0.045776185	-127.454796	-129.16043	240000	-1.1712313e-08	949149.06	-0.01745604	-3411.5625	0.88922155	0.01560512	0.1285	15.0	2719.4597651958466
60	-2752.0671	1079.2528	-1457.0778	-5056.827	215.5	-131.15295	0.00042504282	-131.1464	-131.15305	244000	-5.1379203e-08	956589.9	-0.01390692	-3615.0625	0.8888059	0.015167129	0.12725	13.0	2764.493780851364
61	-2392.2415	689.0692	-1654.5698	-4293.7207	209.89473	-133.22028	0.00023245953	-133.2158	-133.22032	248000	-5.00679e-09	764148.3	-0.027913889	-2944.75	0.888593	0.015001358	0.15525	53.0	2809.6598081588745
62	-3108.3882	1240.5427	-1466.8632	-5723.175	228.58824	-135.10422	0.0029669087	-135.0501	-135.10463	252000	-1.4096498e-08	1038526.75	-0.02125714	-3910.0625	0.8814762	0.015302097	0.131	24.0	2854.817506790161
63	-2601.9714	891.91785	-1643.5592	-5363.653	208.26315	-137.24638	0.00016902131	-137.24487	-137.24648	256000	-1.3175607e-07	859103.5	-0.018961705	-3319.0625	0.8783309	0.01532262	0.1285	24.0	2899.8104496002197
64	-3005.4407	1067.7607	-1912.5504	-5643.915	232.41176	-139.24687	0.00038121606	-139.24013	-139.24701	260000	-6.377697e-09	966880.06	-0.017436413	-3704.25	0.8750344	0.016949132	0.15475	14.0	2944.8584036827087
65	-2772.1143	1170.6498	-1712.0499	-6098.8125	231.11765	-141.3427	0.0002799834	-141.33699	-141.34282	264000	-8.761883e-09	918395.9	-0.01065473	-3345.75	0.87527275	0.016251478	0.1095	8.0	2989.852968454361
66	-3813.0962	1903.1459	-1657.2983	-7357.648	260.13333	-143.3489	0.0057081087	-143.11499	-143.3494	268000	1.7702579e-08	1401165.9	-0.0110685425	-5065.625	0.874907	0.016646378	0.1515	7.0	3034.7450788021088
67	-3087.8828	981.04346	-2088.728	-5250.988	238.5625	-145.77182	0.015534245	-145.51373	-145.77335	272000	-3.2901763e-08	964904.2	-0.018692471	-3653.6875	0.8742928	0.015702901	0.14325	20.0	3079.6485521793365
68	-3806.0234	1924.3971	-1761.8806	-7524.626	265.2857	-147.8699	0.0035041436	-147.78935	-147.87039	276000	1.3062358e-07	1364244.5	-0.018404214	-4975.375	0.87298083	0.015095385	0.10575	18.0	3124.64125084877
69	-3361.4287	1519.9296	-1879.1589	-7630.7393	244.5	-150.26004	0.00017639154	-150.25812	-150.26012	280000	-9.834767e-09	1171535.0	-0.014100325	-4250.5	0.87174493	0.015335747	0.107	12.0	3169.5396473407745
70	-3198.5935	1376.7356	-1759.4584	-7231.6357	233.11765	-152.48987	0.0011594812	-152.46669	-152.49002	284000	-3.3020974e-08	1149958.5	-0.013418049	-4153.75	0.8712828	0.01533582	0.12125	11.0	3214.5422081947327
71	-3994.1375	1943.0671	-1976.1964	-7720.9946	273.2857	-154.67848	0.0002414569	-154.67569	-154.67857	288000	9.11206e-08	1410939.6	-0.018668506	-4973.75	0.87103045	0.015694978	0.1325	17.0	3259.467059135437
72	-3018.2988	1477.3525	-1743.464	-7147.9043	229.29411	-157.04944	0.00052502746	-157.0408	-157.04951	292000	-1.4901161e-08	1035763.2	-0.006479798	-3673.0625	0.8714189	0.016200436	0.1505	6.0	3304.3872463703156
73	-4039.6597	2401.5322	-1623.0181	-8914.79	280.2857	-159.11266	0.00034718122	-159.10252	-159.11275	296000	3.552437e-08	1463991.2	-0.01961859	-4881.375	0.87153554	0.015102545	0.104	20.0	3349.4113371372223
74	-5575.7676	6218.1436	-2102.1675	-24715.682	333.18182	-161.44186	0.0019435654	-161.41325	-161.4422	300000	-6.1273575e-08	2304260.8	-0.013991174	-6934.0	0.8667898	0.015000593	0.106	10.0	3394.4169878959656
75	-4657.566	2853.7676	-1853.4438	-12519.5625	317.5	-164.18323	0.005260856	-164.08118	-164.18361	304000	-3.576279e-08	1414175.8	-0.02084082	-5014.5	0.86539525	0.015415583	0.11575	24.0	3439.5304391384125
76	-2847.5952	827.6764	-1776.1589	-4917.707	243.8	-166.5382	0.0007727564	-166.51982	-166.53831	308000	6.28829e-09	828527.06	-0.012226547	-2913.5	0.8662484	0.015146856	0.114	12.0	3484.5352652072906
77	-3804.5266	1812.498	-2307.0696	-9554.935	271.2143	-168.34752	0.00035409737	-168.34073	-168.34758	312000	2.6345253e-08	1138545.8	-0.017539078	-3885.25	0.8659222	0.015373156	0.132	16.0	3529.3854699134827
78	-2855.273	911.5724	-1743.981	-4843.2603	248.0625	-170.3889	0.00020139391	-170.3868	-170.38899	316000	7.450581e-09	760898.75	-0.016674167	-2754.75	0.8657909	0.015724538	0.15475	15.0	3574.2718048095703
79	-3650.7866	2748.0293	-1698.5437	-13221.56	255.46666	-172.14665	0.023807835	-171.79628	-172.1492	320000	8.9883805e-08	1459937.6	-0.02066561	-4340.0	0.86398524	0.01539174	0.14175	14.0	3619.1590864658356
80	-4072.1675	1279.4348	-2249.3	-6912.6953	285.0	-174.3065	8.9129484e-05	-174.30557	-174.30652	324000	5.8054923e-08	1255575.9	-0.019529995	-4549.125	0.86279213	0.015942331	0.11675	18.0	3664.355904340744
81	-3529.4028	3065.505	-1562.8656	-14609.076	243.8125	-176.53731	0.00041470857	-176.52618	-176.53738	328000	1.4036893e-08	1444565.9	-0.019451123	-4323.125	0.8609388	0.016055709	0.14125	17.0	3709.1599571704865
82	-3828.4304	4097.6167	-1946.0264	-18486.596	273.92856	-178.7118	0.0009745899	-178.69601	-178.71198	332000	-8.255243e-08	1601657.8	-0.01714224	-4534.625	0.8607308	0.015394813	0.10375	16.0	3754.120474100113
83	-2966.728	636.0808	-1845.5509	-3956.3525	233.5625	-180.9271	0.00062185165	-180.90932	-180.92717	336000	7.969141e-08	876004.9	-0.025350964	-3208.5625	0.8604585	0.01509149	0.1415	48.0	3799.3585720062256
84	-3236.6094	1225.4961	-2043.046	-6528.994	244.4375	-182.81616	3.660122e-05	-182.81561	-182.81616	340000	6.598234e-08	939001.75	-0.031146409	-3242.625	0.8573873	0.015017839	0.1655	77.0	3844.9428992271423
85	-3171.26	1506.992	-1293.0009	-7439.3228	250.13333	-184.69987	5.8597027e-05	-184.69908	-184.69987	344000	-2.5987624e-08	975165.25	-0.027737763	-3201.3125	0.8494888	0.015023052	0.129	40.0	3890.1100974082947
86	-3349.6829	1137.9675	-1701.6693	-6064.5034	263.8	-186.5809	0.00013441556	-186.57889	-186.58093	348000	4.824996e-08	1093647.2	-0.02700808	-3623.0	0.8425007	0.015058216	0.1415	52.0	3935.5021290779114
87	-3115.457	775.3866	-2058.1902	-4960.53	249.0	-188.57883	0.000105545165	-188.57675	-188.57881	352000	-5.6266785e-08	884845.3	-0.023558505	-3157.25	0.8332043	0.015622631	0.13925	30.0	3980.5232343673706
88	-3647.8833	1714.5496	-1673.2885	-7590.649	269.14285	-190.46384	5.3799948e-05	-190.46312	-190.46382	356000	1.6689301e-09	1120199.5	-0.016261278	-3808.375	0.83459646	0.015959738	0.09725	13.0	4025.45596408844
89	-4307.8823	2361.4504	-1938.0509	-10429.725	291.53845	-192.51697	0.0045268056	-192.4394	-192.51756	360000	4.053116e-08	1390828.1	-0.024905417	-4674.125	0.8334777	0.0155584235	0.151	21.0	4070.3432836532593
90	-3505.6086	1009.4152	-2072.3845	-5334.26	264.0	-194.78682	0.000328439	-194.7816	-194.78691	364000	-5.671382e-08	999752.25	-0.01403996	-3567.5	0.8310745	0.015813714	0.13375	12.0	4115.329462766647
91	-4970.642	2999.156	-1538.4543	-13619.145	317.91666	-196.7958	0.004916496	-196.67226	-196.79637	368000	2.7298928e-08	1727611.5	-0.016664023	-5619.25	0.83067346	0.015214535	0.108	13.0	4160.351803064346
92	-4340.089	1952.1311	-1814.0126	-8578.706	299.0	-199.25478	0.0020470498	-199.2004	-199.25497	372000	7.775426e-08	1319064.8	-0.011593342	-4543.375	0.8297025	0.016323144	0.108	9.0	4205.1235268116
93	-4795.469	1571.6565	-2582.6516	-8396.288	301.84616	-201.49657	0.00021598572	-201.4942	-201.49661	376000	1.7911196e-08	1636265.4	-0.012195332	-5592.0	0.8298626	0.01523646	0.11	10.0	4250.106928110123
94	-4570.5225	1245.0978	-2501.674	-6678.2173	290.6154	-203.93634	0.0006427082	-203.9119	-203.9364	380000	-8.7872145e-08	1484247.0	-0.0050171907	-5107.375	0.8299756	0.016136428	0.1555	5.0	4295.075038909912
95	-3812.806	1752.0463	-2044.7733	-6898.195	276.53845	-206.27281	0.010074701	-206.1586	-206.27441	384000	-9.804964e-09	1280875.2	-0.017489372	-4098.625	0.8297506	0.015482338	0.15625	14.0	4340.091092824936
96	-3718.5354	1739.8717	-2063.9434	-9369.949	261.06668	-208.37073	0.0024440314	-208.34009	-208.37111	388000	2.6226044e-08	1248006.1	-0.014542309	-3944.125	0.82833755	0.015160345	0.13275	11.0	4385.057272195816
97	-3698.9143	1428.4194	-1261.3497	-6134.727	270.23077	-210.41766	0.000476798	-210.41078	-210.41774	392000	-3.683567e-08	1193583.2	-0.018741403	-3975.375	0.8257092	0.01509882	0.15075	13.0	4429.98930478096
98	-3277.1682	1366.4481	-1319.1237	-5775.033	256.6	-212.47159	0.0007767374	-212.45375	-212.47171	396000	1.9192695e-08	893079.06	-0.013266863	-2845.3125	0.82365954	0.015040102	0.12625	13.0	4475.000409126282
99	-3964.6711	1435.2867	-1526.903	-7129.226	281.64285	-214.23488	0.0004218322	-214.22296	-214.23497	400000	7.092953e-09	1162766.1	-0.013124451	-3776.0	0.8233702	0.01576297	0.13975	10.0	4519.697311878204
100	-3859.364	1416.0883	-1972.641	-7037.768	283.42856	-216.2338	0.012626044	-215.98772	-216.23494	404000	2.9623509e-08	1115027.4	-0.0042015696	-3736.375	0.8237381	0.015839597	0.18425	4.0	4564.574309825897
101	-3757.092	1605.7129	-1970.1757	-8193.683	274.2857	-218.24443	0.0013949925	-218.22617	-218.24464	408000	-8.887053e-08	1118847.1	-0.023667559	-3537.125	0.82387793	0.015401432	0.118	23.0	4609.4546251297
102	-3565.8865	1717.5541	-1627.8711	-7538.2827	280.0	-220.20506	0.001444364	-220.18315	-220.20525	412000	-5.2630902e-08	1054770.9	-0.024040392	-3257.625	0.8210432	0.015125028	0.12925	22.0	4654.5418519973755
103	-3509.4133	1192.6555	-1621.534	-6031.6826	265.5	-222.09415	0.00036078808	-222.09029	-222.0942	416000	2.8729438e-08	1081613.1	-0.008556398	-3596.625	0.8219049	0.015721528	0.149	7.0	4699.503227472305
104	-3973.8098	2601.0977	-1943.9856	-12685.678	285.57144	-224.07053	0.05016473	-222.41878	-224.07362	420000	-5.7071446e-08	1119835.0	-0.008479995	-3852.125	0.8228606	0.015952714	0.1875	5.0	4744.323239564896
105	-6453.3086	5355.271	-2442.5027	-20748.336	397.1	-226.11337	0.12245291	-221.96112	-226.11911	424000	5.9306622e-08	1940356.0	-0.009416326	-6327.5	0.8232162	0.015854215	0.13575	7.0	4789.222370386124
106	-3869.0906	2483.3196	-1640.0479	-11859.446	285.5	-228.70052	0.0010012768	-228.67802	-228.70065	428000	2.014637e-08	1066730.9	-0.024213763	-3660.375	0.82314533	0.015537412	0.134	24.0	4834.372575044632
