Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1326.6407	354.32257	-691.78577	-2262.8513	149.42308	-0.114048675	0.10586769	0.23768863	-0.35346344	4000	-8.9526175e-08	441031.56	-0.022785021	-6190.0312	0.9189385	0.015027301	0.1385	63.0	47.17573118209839
1	-1336.4075	358.78403	-728.69293	-2235.1067	151.53847	-4.9896617	0.77056384	-1.5826957	-5.7191086	8000	2.8729438e-08	441233.62	-0.025681691	-4331.1562	0.9211886	0.015040692	0.145	68.0	94.35825634002686
2	-1284.0691	364.5856	-702.5483	-2396.562	149.34616	-8.658748	0.24386884	-7.0049734	-8.819369	12000	-1.1914968e-07	410528.2	-0.018102355	-2943.6562	0.92058676	0.015087118	0.10625	33.0	141.23810148239136
3	-1403.3075	530.4342	-750.2106	-3038.3594	150.03847	-11.169461	0.3116241	-5.471379	-11.274138	16000	-3.0994416e-09	505964.16	-0.020785803	-3196.0938	0.91917163	0.015095762	0.13825	34.0	188.03882789611816
4	-1669.056	1048.4073	-801.13745	-5794.925	166.16667	-13.667259	0.16187003	-11.46461	-13.736851	20000	9.047985e-08	725639.8	-0.020987092	-3954.1875	0.9137141	0.015003628	0.1125	48.0	234.9643783569336
5	-1992.2195	1322.4801	-911.4641	-5848.6245	171.08696	-16.126245	0.8450731	-8.296512	-16.363453	24000	-7.3313714e-08	896456.1	-0.007312978	-4892.75	0.9143121	0.015448809	0.138	7.0	281.6273305416107
6	-1602.2081	813.3892	-880.47174	-4465.964	159.8	-19.03421	0.031621847	-18.767832	-19.04845	28000	-7.0795416e-08	642362.5	-0.022763873	-3233.875	0.91435635	0.015180737	0.12175	43.0	328.5574223995209
7	-1733.622	579.95056	-1067.4498	-3325.5479	166.91304	-21.323544	0.019397425	-21.117512	-21.332565	32000	5.2154064e-08	641947.56	-0.013542763	-3238.0625	0.9146072	0.015034874	0.11325	16.0	375.11077880859375
8	-2529.3025	1793.367	-1017.9756	-6911.2266	199.6	-23.565102	0.033212073	-23.31684	-23.57945	36000	-7.760525e-08	1206256.0	-0.005801148	-5370.625	0.9126481	0.017016998	0.23725	5.0	421.6185472011566
9	-3231.4458	3700.6848	-838.21893	-17106.264	216.72223	-26.235615	0.80534834	-16.445265	-26.36468	40000	4.9114227e-08	2089852.0	-0.008354383	-7502.375	0.91193587	0.016308704	0.12675	6.0	468.23509788513184
