Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-3549.429	2128.902	-1359.8837	-9188.543	266.06668	0.03144191	0.24555361	0.5059694	-0.5947944	4000	-3.3199786e-08	1690143.8	-0.017220959	-10268.125	0.9189385	0.015108032	0.1155	17.0	45.63906693458557
1	-3480.9175	1837.8225	-1282.9541	-8273.5205	262.66666	-4.3336887	0.86364573	-0.33848035	-5.203987	8000	8.431077e-08	1518498.8	-0.012994961	-7875.625	0.91908437	0.015421499	0.1065	17.0	91.42771911621094
2	-4000.7292	2297.4995	-1941.4381	-10705.603	275.07144	-7.9229355	0.7801877	-0.2599082	-8.325218	12000	7.878244e-08	1845626.4	-0.01226742	-6867.125	0.91774035	0.015580258	0.08675	16.0	137.04329657554626
3	-4462.568	4615.8555	-1206.6393	-19997.615	293.15384	-10.634948	1.0251334	-1.858687	-10.998456	16000	-5.6028364e-09	2527268.2	-0.012382401	-7290.75	0.9171245	0.01565208	0.09325	11.0	182.66370129585266
4	-2976.1328	1097.4408	-1145.3751	-4928.1665	260.73334	-13.521259	0.15220998	-12.283857	-13.598917	20000	9.3579295e-09	1096467.4	-0.018928293	-3691.875	0.9170022	0.015145262	0.09475	40.0	228.62559294700623
5	-2822.9348	765.75275	-1406.1921	-4666.481	241.57143	-15.428705	0.43183783	-11.356583	-15.53264	24000	-3.71933e-08	1593273.9	-0.013316798	-4892.375	0.9199347	0.015228272	0.1015	17.0	274.440548658371
6	-4111.4604	2384.8997	-1220.7496	-9165.993	295.84616	-17.509872	1.1953673	0.21828003	-17.684881	28000	-2.592802e-09	1615476.8	-0.028692339	-5138.0	0.91964203	0.015029306	0.15675	73.0	320.562180519104
7	-2700.0654	1107.328	-1183.092	-6253.964	229.58824	-19.844435	0.21291834	-16.728745	-19.895018	32000	-7.5399875e-08	1026317.56	-0.01680966	-3411.875	0.913897	0.015206984	0.11	23.0	366.38094544410706
8	-2867.6123	1162.7749	-1066.718	-5301.1963	248.75	-21.421824	2.4966903	8.626296	-21.741808	36000	-4.9054623e-08	1090247.9	-0.013739271	-3830.25	0.91056293	0.015076715	0.10075	19.0	412.0436532497406
9	-4458.3745	4075.4436	-1040.8649	-16309.005	323.5	-23.557829	0.56783134	-8.644184	-23.621195	40000	7.069111e-08	1745513.5	-0.010160234	-5298.5	0.9088852	0.016606605	0.1625	8.0	457.62450909614563
10	-4155.9565	1907.8529	-2031.8951	-8461.722	289.0	-25.88065	0.054354977	-24.84027	-25.897709	44000	-9.149313e-08	1658676.5	-0.009928988	-5248.375	0.9082935	0.015759977	0.09825	12.0	503.2175896167755
11	-2808.8774	1745.6927	-1052.2368	-8496.8	241.1875	-27.867283	2.4722779	2.131127	-28.172628	48000	5.00679e-08	1080071.9	-0.02143177	-3493.625	0.9073401	0.015222243	0.10525	33.0	549.1369590759277
12	-3400.5107	1777.9836	-1222.4368	-6694.5728	261.13333	-29.985937	0.038949735	-29.372166	-29.997667	52000	4.7862528e-08	1277727.2	-0.016689029	-4094.375	0.90127516	0.015338047	0.10125	24.0	594.9897403717041
13	-5468.5854	3518.8171	-1919.4001	-13615.309	350.0	-31.976753	0.17204793	-29.679094	-32.006405	56000	1.11460686e-07	2132052.5	-0.021315595	-6444.5	0.9014481	0.015678808	0.1355	25.0	640.830778837204
14	-3663.988	1864.9697	-1229.1853	-6722.4517	284.57144	-34.4645	0.33778837	-23.416054	-34.492493	60000	1.4692545e-08	1420828.5	-0.012936249	-4509.25	0.9022577	0.015331109	0.0955	16.0	686.6765644550323
15	-4122.748	3096.2815	-1162.2136	-12248.257	300.76923	-36.568707	0.6059093	-18.166346	-36.60956	64000	-2.3722649e-08	1798473.8	-0.023400003	-5118.875	0.9052355	0.015141096	0.12725	33.0	732.7598218917847
16	-3267.643	2049.3806	-1445.8823	-9339.179	276.69232	-38.819424	0.006696806	-38.75574	-38.8231	68000	6.8768855e-08	1287317.8	-0.020389332	-3932.25	0.9014127	0.015168232	0.09775	29.0	778.8545546531677
17	-3991.3342	3360.725	-1394.1096	-13415.92	294.30768	-40.781704	0.040838845	-39.84878	-40.79015	72000	2.5272369e-08	1565144.1	-0.010847895	-4684.125	0.9020206	0.016120521	0.10875	11.0	824.5762276649475
18	-3492.3083	2340.588	-1002.4307	-8788.56	268.35715	-42.892376	0.18335654	-38.302277	-42.909203	76000	3.671646e-08	1477087.4	-0.01685704	-4337.0	0.90283793	0.015034604	0.08975	26.0	870.4133636951447
19	-3440.6638	1941.0542	-1663.0745	-7946.8037	291.92307	-44.954304	0.025301056	-44.681812	-44.9625	80000	-3.6418438e-08	1139770.8	-0.015204695	-3633.5	0.90482974	0.015516362	0.11575	19.0	916.1767756938934
20	-4086.0327	1926.4224	-1953.4598	-9336.015	297.69232	-46.822014	0.20896587	-44.00326	-46.853497	84000	6.556511e-08	1524801.1	-0.012597342	-4651.625	0.90345776	0.015300307	0.08325	16.0	961.7378132343292
21	-5918.0264	2871.096	-1568.4702	-10754.413	394.0	-48.96356	0.0076345275	-48.89734	-48.966496	88000	2.4795533e-08	1962887.2	-0.014975154	-6040.375	0.9020609	0.0153146675	0.1185	17.0	1007.3253271579742
22	-5717.821	3562.8003	-3262.6416	-13277.657	370.6	-51.35838	0.020450998	-51.177956	-51.365677	92000	9.891391e-08	2041752.6	-0.02188735	-6353.375	0.9021188	0.015221138	0.125	34.0	1052.9567461013794
23	-3955.543	1653.9463	-1226.3685	-6835.67	311.9091	-53.795162	0.37004125	-39.23999	-53.816467	96000	-3.3378602e-09	1450062.4	-0.00961298	-4565.25	0.9018168	0.01512721	0.12	10.0	1098.506847858429
24	-4499.9385	3168.973	-1444.7109	-13210.163	338.63635	-55.905556	0.014514706	-55.74426	-55.909695	100000	3.2395125e-08	1557828.0	-0.009807715	-4495.375	0.9002623	0.015933156	0.16675	9.0	1143.9873106479645
25	-4131.2954	1899.1173	-1926.543	-7537.4253	327.66666	-57.963436	0.013268089	-57.752663	-57.967293	104000	3.8146972e-08	1306334.4	-0.019307416	-4034.875	0.8987074	0.015409823	0.10525	26.0	1189.7759718894958
26	-3724.1665	1811.883	-1994.9331	-8009.016	294.46155	-59.92458	0.005284062	-59.80431	-59.926495	108000	8.21352e-08	1218097.1	-0.015248997	-3743.75	0.8991487	0.015033447	0.09525	20.0	1235.6741919517517
27	-4819.001	1772.719	-2345.0022	-8694.477	371.8	-61.180634	7.2090564	38.141666	-61.81881	112000	9.566546e-09	1403665.1	-0.0069813863	-4883.5	0.9019241	0.016572278	0.14225	6.0	1281.4127328395844
28	-4125.5034	1406.6226	-2160.391	-6831.515	320.83334	-63.859264	0.016286157	-63.48816	-63.86309	116000	3.8504602e-08	1340688.6	-0.013938871	-4077.25	0.9021467	0.015181815	0.118	17.0	1327.2872409820557
29	-4528.2935	2117.7668	-1469.6704	-9213.593	352.72726	-65.84076	0.023215288	-65.42719	-65.8456	120000	1.5497208e-09	1321168.2	-0.01563057	-4203.5	0.90097463	0.015193911	0.10775	24.0	1373.1549315452576
30	-3472.8748	1517.641	-2225.8623	-7601.1567	276.07144	-67.85282	0.0041834447	-67.74685	-67.85427	124000	-6.7919494e-08	1108018.4	-0.022609388	-3577.125	0.90109414	0.0150852455	0.129	43.0	1419.5097420215607
31	-5211.072	2678.3157	-1795.5939	-9160.02	374.2	-69.72243	0.008936967	-69.587395	-69.72509	128000	-5.3465367e-08	1693671.4	-0.016392628	-5246.375	0.89981025	0.01576609	0.10475	18.0	1465.1349635124207
32	-4557.5005	1889.1246	-1472.2847	-7646.7607	363.0909	-71.95083	0.036269747	-71.32	-71.95516	132000	2.554059e-08	1339977.0	-0.015782097	-4326.75	0.89943486	0.01507671	0.151	20.0	1511.013823747635
33	-6000.8394	4056.672	-2864.0515	-14616.932	465.75	-74.01045	0.0030303309	-73.98516	-74.011894	136000	1.578033e-08	1452876.0	-0.023303235	-4637.875	0.8993319	0.015291416	0.12025	36.0	1556.7985122203827
34	-6395.5713	3280.309	-3183.5398	-12284.684	434.0	-76.11923	0.03517681	-74.76382	-76.12275	140000	3.051758e-08	1934880.5	-0.011484189	-5848.25	0.8980889	0.015196112	0.12	10.0	1602.7033340930939
35	-7804.1846	2702.25	-4318.3228	-11909.931	534.8571	-78.472626	0.004209973	-78.42404	-78.47407	144000	-2.7239322e-08	1842357.6	-0.020358134	-5792.0	0.8988523	0.015288836	0.11225	27.0	1648.5465943813324
