Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-961.383	372.38174	-364.15182	-1594.7778	172.04546	0.32970676	0.12250008	0.5373305	-0.060034275	4000	-8.493662e-09	231560.88	-0.023513366	-4296.8906	0.9189385	0.015008582	0.14	77.0	47.563679933547974
1	-971.4431	352.34998	-433.58838	-1665.9161	170.95653	-4.4907627	0.9603587	-0.4274092	-5.3677416	8000	6.431341e-08	231989.83	-0.022397658	-3232.5625	0.9160827	0.014664709	0.13725	79.0	95.12244844436646
2	-1094.7344	252.84122	-504.27658	-1401.1488	171.82608	-8.310994	0.39873922	-5.4041643	-8.565164	12000	1.1742115e-08	245752.08	-0.021503648	-2507.0156	0.91653466	0.015249931	0.1325	48.0	142.26993227005005
3	-1060.2129	292.98648	-581.4589	-1868.7318	180.4762	-11.134882	0.18546906	-9.78584	-11.219642	16000	5.6773423e-08	241748.22	-0.019845666	-2141.3594	0.9093204	0.015038021	0.138	40.0	189.45867133140564
4	-1047.3745	313.84915	-466.18344	-1624.4034	171.17392	-13.58524	0.067864135	-12.977597	-13.6236725	20000	5.3197144e-09	236813.62	-0.026977638	-1970.75	0.9100978	0.015083913	0.16075	70.0	236.8447070121765
5	-857.5938	369.205	-255.85318	-1641.1315	179.22728	-15.819761	0.68136644	-0.9843817	-15.896476	24000	-7.724762e-08	195008.48	-0.01173012	-1532.7344	0.90645874	0.01585518	0.1275	13.0	283.51999592781067
6	-992.61743	394.68378	-325.63425	-1751.6992	181.5	-17.822285	0.44983584	-11.452824	-17.906324	28000	6.505847e-08	219525.6	-0.025252786	-1784.8594	0.9064391	0.01501715	0.151	72.0	330.986536026001
7	-977.03076	428.08722	-303.6885	-1974.0813	183.09525	-20.018734	0.057635885	-19.500792	-20.043768	32000	2.6822091e-09	216612.81	-0.023253279	-1741.2188	0.9014432	0.015056434	0.12975	59.0	378.6378560066223
8	-1144.0818	357.96927	-534.6713	-1842.2416	181.13637	-22.147833	0.05589159	-21.69196	-22.171333	36000	-4.801154e-08	251169.06	-0.02277388	-2063.7344	0.90442073	0.015130208	0.1395	47.0	425.70421147346497
9	-993.85156	272.5764	-386.31808	-1437.7736	171.36363	-24.448683	0.028708585	-23.993889	-24.46047	40000	-1.513958e-08	231304.61	-0.024326552	-1899.2969	0.9052872	0.015035098	0.1555	56.0	473.14169788360596
10	-1147.0824	479.968	-546.80176	-2794.3826	188.5238	-26.621922	0.26895735	-22.087616	-26.660547	44000	7.9989434e-08	274327.72	-0.0252482	-2081.375	0.8944552	0.015096926	0.148	54.0	520.6120481491089
11	-1165.325	354.74753	-523.7422	-1920.3529	193.9	-28.901714	0.2504638	-21.953033	-28.935913	48000	5.185604e-08	250685.97	-0.016566383	-1963.7656	0.88723475	0.01504863	0.11175	20.0	567.9044878482819
12	-1004.5811	340.1091	-336.12433	-1767.4459	177.5	-31.127438	0.13904159	-26.23582	-31.142536	52000	-1.3649464e-08	219527.22	-0.02130001	-1655.5625	0.8871408	0.0151666785	0.1325	52.0	615.279844045639
13	-1099.8331	348.79706	-529.5858	-1643.7854	188.71428	-33.171444	0.0133685125	-32.990246	-33.177094	56000	4.8339366e-08	229269.55	-0.021151856	-1772.5156	0.88641286	0.015336367	0.13075	34.0	662.481143951416
14	-1001.5016	313.6084	-506.8519	-1558.6396	180.09091	-35.257915	0.036703408	-34.753754	-35.26891	60000	-2.1755696e-08	212327.8	-0.020401847	-1647.5781	0.87788147	0.015514711	0.13125	30.0	709.7623364925385
