Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1450.9684	773.4129	-663.748	-3794.061	184.33333	-0.10723437	0.3820293	0.69272995	-0.64624596	4000	6.1631205e-08	406726.97	-0.019203981	-5678.6562	0.9189385	0.015036674	0.12775	28.0	46.26863408088684
1	-1667.6566	1213.9447	-594.182	-6379.5854	194.95	-4.74606	1.5451093	2.1716218	-5.7850127	8000	3.9964913e-08	515303.88	-0.024855027	-4804.5625	0.9152117	0.015021882	0.13125	64.0	92.92037343978882
2	-1476.1263	635.88324	-642.52637	-2913.3752	189.0	-8.76895	0.3303374	-5.8025208	-8.961645	12000	-1.6480683e-08	416966.28	-0.018548075	-3001.375	0.9115451	0.015050384	0.1235	40.0	139.26414251327515
3	-1550.6299	570.13214	-557.0329	-3125.0295	183.33333	-11.354676	0.27854946	-7.022879	-11.45704	16000	7.307529e-08	426721.16	-0.026886517	-2840.4062	0.90641826	0.015034067	0.1535	77.0	185.99527740478516
4	-1676.3969	731.46716	-588.2564	-3352.2583	203.47368	-13.721514	0.29535687	-9.246595	-13.813326	20000	5.4702163e-08	457641.38	-0.027793406	-2868.8438	0.88850474	0.0150884595	0.163	79.0	232.68457984924316
5	-1513.6414	732.5501	-616.48236	-2964.5852	189.75	-16.058664	0.41180488	-8.9124975	-16.142254	24000	-4.9531458e-08	420868.6	-0.023278741	-2592.9688	0.8822787	0.0152239315	0.13825	33.0	279.17126965522766
6	-1237.7101	553.704	-576.95264	-3283.111	177.04546	-18.323175	0.049606886	-17.686298	-18.344837	28000	5.64456e-08	314493.4	-0.004660039	-1924.8125	0.88299227	0.016197436	0.2055	5.0	325.3093888759613
7	-1613.6448	1105.5472	-667.20734	-5969.1626	197.4	-19.72323	3.0725245	9.870909	-20.266562	32000	9.328127e-08	436567.75	-0.011708946	-3478.3438	0.8830333	0.015531403	0.149	13.0	371.57830810546875
8	-1310.4305	504.2119	-627.0158	-2541.1724	177.77272	-22.432644	0.044670966	-21.860758	-22.448372	36000	9.068847e-08	327053.75	-0.02917485	-2046.0312	0.882196	0.014857225	0.15475	79.0	418.4116177558899
9	-1145.3524	337.80508	-562.7615	-1795.5349	166.60869	-24.414703	0.04276753	-23.51453	-24.42909	40000	7.539987e-09	262736.4	-0.02088561	-1684.6719	0.88455313	0.015017525	0.12125	34.0	464.82621335983276
10	-3525.0315	3569.7026	-608.78986	-11827.703	355.72726	-25.830072	2.5835798	3.7890027	-26.236176	44000	-8.440018e-08	872063.7	-0.012177549	-5543.8125	0.88542634	0.015003634	0.10725	10.0	511.1241464614868
11	-1497.0245	816.94354	-590.17883	-3261.908	199.11111	-29.139757	0.03431985	-28.29487	-29.14793	48000	6.9975854e-08	430460.12	-0.019273588	-2552.8125	0.88472444	0.015185295	0.17	23.0	557.4109055995941
12	-1814.5588	1174.1964	-706.3126	-5983.0815	225.47058	-31.316362	0.041616928	-30.928164	-31.329199	52000	9.8645685e-08	462846.8	-0.022236658	-2583.625	0.8809584	0.015128698	0.13625	39.0	603.7856447696686
13	-1875.8284	1376.238	-731.25415	-6463.219	228.23529	-33.442085	0.17227255	-30.41047	-33.46675	56000	5.066395e-09	511986.3	-0.018336367	-2778.5938	0.8734727	0.015097214	0.12	23.0	649.9052505493164
14	-1603.5613	868.62476	-730.56134	-3216.6377	206.94737	-35.657867	0.10736296	-33.59041	-35.675053	60000	1.2218953e-09	396995.66	-0.013674475	-2272.6562	0.8682568	0.015582969	0.14025	15.0	695.9834179878235
15	-1371.1067	585.05725	-682.0587	-3374.0183	184.71428	-37.677906	0.101281375	-35.43269	-37.689083	64000	2.4437904e-08	327654.16	-0.022186872	-1831.5312	0.8667755	0.015052476	0.1345	61.0	742.6908848285675
16	-1267.0173	444.18594	-556.7275	-2906.775	174.81818	-39.503357	0.013576665	-39.221916	-39.506706	68000	5.0485134e-08	294552.4	-0.024828227	-1719.5312	0.8634665	0.0143005615	0.15	79.0	789.6191427707672
17	-1681.0494	919.824	-638.33594	-4587.2373	222.58824	-41.2671	0.02234836	-40.86113	-41.273655	72000	7.635355e-08	384235.6	-0.013223017	-2195.9375	0.8536599	0.015122255	0.12	9.0	835.7929518222809
18	-1358.806	889.50464	-628.5051	-4759.9053	193.4	-43.25844	0.0146915	-43.036026	-43.26208	76000	2.7060509e-08	316227.78	-0.028916597	-1777.0312	0.85414934	0.0132414475	0.16925	79.0	882.6395134925842
19	-1450.3625	555.864	-709.8762	-2632.5627	183.80952	-45.081127	0.009392518	-44.883926	-45.083817	80000	1.1309981e-08	337004.8	-0.026564175	-1994.3125	0.848783	0.015044071	0.15025	57.0	929.2982046604156
20	-1749.124	1215.9263	-681.1165	-6515.104	205.66667	-46.989796	0.13077408	-43.749252	-47.00276	84000	8.046627e-09	432988.47	-0.016032532	-2544.9375	0.8452966	0.015022471	0.14025	15.0	975.6287233829498
21	-1892.772	1379.8785	-691.2238	-4899.527	255.33333	-49.157104	0.018300593	-48.945637	-49.1635	88000	1.3148785e-07	413621.2	-0.0221992	-2425.125	0.8443597	0.015212281	0.1405	27.0	1022.0188164710999
22	-1522.5173	699.6072	-678.2371	-3798.627	205.36842	-51.283978	0.010387074	-51.09055	-51.286694	92000	-2.7462841e-08	341555.16	-0.023720277	-2029.625	0.8407593	0.015163637	0.13025	39.0	1068.5563235282898
23	-1698.1279	1249.5472	-707.296	-4875.496	234.52942	-53.053814	1.3959789	-30.502928	-53.239437	96000	-4.148483e-08	377191.62	-0.024658266	-2254.9375	0.83470166	0.015256832	0.15225	34.0	1114.9443204402924
24	-1461.1089	561.2676	-751.39264	-2779.9058	211.66667	-55.23819	0.01547647	-54.80028	-55.240253	100000	4.9829485e-08	300231.28	-0.026380902	-1844.875	0.82877517	0.0150843505	0.1475	36.0	1161.3856337070465
25	-2203.0825	1735.295	-658.0091	-7854.674	259.73334	-57.10751	0.025270276	-56.672802	-57.111977	104000	-2.501905e-08	500568.72	-0.010547749	-2918.0625	0.8239508	0.015610465	0.10925	7.0	1207.3349628448486
26	-1596.5874	970.3997	-765.666	-4104.596	217.94444	-59.414364	0.07139654	-57.639202	-59.422142	108000	1.0073185e-08	358699.5	-0.013657075	-2106.6562	0.82274073	0.015325738	0.12075	12.0	1253.562091588974
27	-1809.4604	1124.18	-880.371	-5849.425	265.13333	-61.398438	0.2690704	-56.281925	-61.427418	112000	5.698204e-08	327284.06	-0.021542246	-1930.5625	0.8212319	0.015681058	0.149	19.0	1299.7703573703766
28	-2903.4724	2516.123	-573.6832	-7199.844	358.2	-62.027832	7.067828	12.373761	-63.32403	116000	3.8981437e-08	476566.47	-0.018653946	-3699.7812	0.81841177	0.016236905	0.1365	13.0	1346.0118086338043
29	-1896.2742	1139.9095	-706.6778	-4153.9062	284.64285	-65.58559	0.05268683	-64.868675	-65.593506	120000	7.9542396e-08	348886.44	-0.023645138	-1913.125	0.8181322	0.015059423	0.13175	31.0	1392.348595380783
30	-2028.7787	2141.738	-673.5826	-9227.18	305.0	-67.43252	0.58963776	-59.492077	-67.51024	124000	1.0311603e-08	371317.1	-0.02456723	-2070.3438	0.8188134	0.015557753	0.148	26.0	1438.7491869926453
31	-1696.199	653.2739	-645.85175	-2833.2812	224.4375	-69.43741	0.041222315	-68.206535	-69.44241	128000	-1.06453896e-07	342574.03	-0.012832639	-2047.7188	0.8191332	0.015579728	0.1245	13.0	1484.9836938381195
32	-2103.7788	1140.4932	-782.2003	-4182.9897	266.46667	-71.407936	0.021084726	-70.966774	-71.41266	132000	-3.4570693e-09	441042.12	-0.015475249	-2600.5	0.818858	0.015226286	0.12825	13.0	1531.2189087867737
33	-2519.9548	1903.5154	-978.35596	-7105.883	332.16666	-73.61559	0.036099937	-72.15123	-73.61811	136000	-1.9043684e-08	413522.25	-0.0041926936	-2534.125	0.8185165	0.017462159	0.1375	4.0	1577.3736259937286
34	-1856.6462	1485.4515	-721.56274	-6791.3296	257.76923	-75.803314	0.040890794	-74.645775	-75.80621	140000	5.954504e-08	395042.78	-0.016173301	-2397.4062	0.8182266	0.015291455	0.15125	15.0	1623.6902878284454
35	-2337.8503	1388.194	-1070.5135	-5419.723	303.33334	-77.93025	0.013945355	-77.678856	-77.93242	144000	-1.758337e-08	392126.4	-0.015300699	-2321.1562	0.8164045	0.01507403	0.11175	13.0	1669.955981016159
36	-2186.0198	1918.7406	-1048.9054	-8506.634	257.46155	-80.020256	0.014112834	-79.64988	-80.022125	148000	-8.630752e-08	658012.3	-0.016887933	-3549.375	0.81580323	0.015738886	0.10975	14.0	1716.114174604416
37	-2027.8661	1117.7034	-843.7973	-4529.402	260.46155	-82.52323	0.5186794	-68.21083	-82.558174	152000	9.086728e-08	461159.78	-0.007161309	-2668.125	0.8150557	0.015304717	0.11925	5.0	1762.3123865127563
38	-3795.952	2373.6304	-1346.3182	-7333.177	423.77777	-84.77773	0.058783982	-83.84472	-84.7873	156000	7.009506e-08	615719.4	-0.00960387	-3487.0	0.81505954	0.015967231	0.1655	8.0	1808.4649047851562
